,composition,Eg (eV)
3350,CdI2,3.8
3351,GeAs,1.01
3352,Li3Bi,0.7
3354,Rb3Sb2Br9,2.48
3355,SnO2,3.6
3356,LaS1.86Se0.14,2.5
3357,Ag2GeTe3,0.25
3358,Dy4S4Te3,1.43
3359,Ca2CdAs2,0.95
3361,TlAsS2,2.15
3362,P2Se3,2.4
3363,Ga0.8Al0.2P,2.3
3364,H6PtI6O20,2.4
3365,Li2In2SiS6,3.61
3367,SnCl2,3.9
3368,CsInGeS4,2.1
3369,Ba5Ga4Se10,2.2
3370,KSbSe2,1.37
3371,In0.3Ga0.7P,2.2
3372,Rb2Cu2Sn2Se6,1.04
3374,InSb0.6As0.4,0.13
3375,CdBr2,4.47
3376,CsLu7Se11,1.78
3377,Pb0.999Se0.999Sn0.001Se0.001,0.24
3378,Cs3W3PO13,3.27
3379,Lu2O3,5.5
3380,SrZrS3,1
3381,RbAg2SbS4,2.3
3382,Cd4Sb3,1.25
3383,Li2B6,2
3385,K2ZnTe2,3
3386,AgSbTe2,0.35
3387,Pb6B2MoO12,2.9
3388,Eu3P2,1.2
3390,AgGaGe3Se8,2.17
3391,CuAlS2,3.5
3392,Ba3Dy2P4S16,3.28
3393,CuZn2InSe4,1.1
3394,PdSe,0.2
3397,Cu0.05Ga1.95S2.95,2.7
3400,CuInSe2,0.95
3401,NaSbSe2,1.2
3404,Sb5O7I,1.95
3405,HgBrCl,3.4
3406,RbGaSnSe4,1.88
3407,Na3MoO4F,4.77
3410,Na3Sb,1.17
3411,TaGaSe2,2.15
3412,Cu2CdSnS4,1.37
3413,KBr,7.6
3415,PrTe1.9,1
3416,Hg3S2Bi2Cl8,3.26
3418,AgInTe2,0.96
3419,TlGaS2,3.4
3420,FeSi2,0.85
3421,Ba2InSmTe5,1.36
3422,SmB6,3.5
3423,Ga0.99In0.01As,1.4
3424,Rb2Sn3Sb2S10,2.33
3425,BiOBr,2.92
3426,Mn11Si19,0.66
3427,HgTe,0.19
3428,Ba4Ga2Se8,1.63
3429,Mg2Ge,1.67
3432,CoSbS,0.5
3433,Pb0.99TeTl0.01,0.59
3435,K3SmAs2S8,2.2
3436,EuAl2O4,2.74
3437,Cr2O3,3.4
3438,LiBr,7.95
3439,K3Ga3Ge7Se20,2.23
3440,Yb4Sb2S11.25,1.71
3441,Ca2Si,1.9
3442,Pb14B2O14Br6,2.62
3443,ReSe2,0.99
3444,DyTe1.45,0.6
3446,SbI3,2.41
3448,Cu0.05Ga1.95Se2.95,1.96
3449,Nd1.33Lu0.67S3,1.5
3450,LaIn3S6,1.03
3451,CsGaSn2Se6,1.87
3452,CsKP2Se8,2.36
3453,MgO,7.83
3454,SnTe,0.33
3455,CuCl,3.27
3456,IrP2,1.1
3458,YbGa2S4,2.3
3459,CuSmSe2,2.1
3460,InSb0.8As0.2,0.21
3462,Cd4P2Cl3,2.17
3463,SrCrO4,2.45
3465,Ag2S,0.87
3466,Ag3AsS3,2.18
3468,AgGaSe2,1.83
3469,AgSbSe2,0.85
3472,CdAs2,1.14
3473,CdGa2Se4,2.43
3474,CdP2,2.02
3477,CdSe,1.83
3478,CdTe,1.65
3480,CuGaSe2,1.6
3481,Dy2S3,3
3482,GaN,3.5
3483,GaS,2.52
3484,GaSe,2.13
3487,In4Te3,0.5
3489,InSe,1.27
3490,KI,6.08
3491,Mg3As2,2.55
3492,NaBiSe2,0.32
3493,PbS,0.3
3494,PbTe,0.34
3495,RbI,6.05
3496,Sb2S3,1.63
3497,SnS,1.1
3498,SnSe,0.91
3499,Tl2Te3,0.51
3500,TlCl,3.21
3501,TlSbS2,1.88
3502,Zn3As2,0.86
3503,ZnGeAs2,1.16
3504,ZnO,3.31
3506,Bi4PdSe4O12,2.06
3507,Cd3In2S2Te4,1.23
3508,SbSI,1.99
3509,Pb0.8Se0.8Ge0.2Te0.2,0.36
3510,Ag1.75InSb5.75Se11,0.94
3511,K2Dy2Ti3O10,3.38
3512,ZrS2,2.75
3513,CaTe,4.07
3516,Ir0.67S2,2
3517,Pb2MnO4,1.5
3518,GaSe,2.05
3519,SrZnSO,3.1
3520,Ge0.653Si0.347,1.91
3521,InAs,0.46
3522,Cu2Ta4O11,2.6
3523,K4GeS4,0.8
3524,Ge0.6Si0.4,0.9
3525,AsI3,2.54
3526,Mg2Sn,0.28
3527,K2CsSb,1
3528,Ho2Mo3O12,1.68
3529,Li4HgGe2S7,2.75
3530,BaGa2GeS6,3.23
3531,InP,1.27
3533,SiB3,2
3534,PbTe,0.62
3535,RbI,6.1
3536,KSbS2,1.8
3537,SbSeBr,1.84
3538,As2Se3,1.77
3539,CoSb2,0.17
3540,Hg0.8Cd0.2Se,0.95
3541,Cu2Te,1.02
3542,LiMgN,3.2
3544,Sb2O3,3.2
3546,PbTe,0.31
3547,NaBiS2,0.4
3548,Hg6P6In2Cl9,3.13
3549,GaS,2.62
3550,Sn3WO6,2.49
3551,TlBr,3.02
3553,InSb,0.26
3554,CdSnO3,3
3555,Pb0.8Se0.8Sn0.2Te0.2,0.14
3556,CuGaS2,2.42
3557,PrF3,5.3
3558,Ru2Ge3,0.52
3559,SmTe,0.38
3560,CsZn2B3O7,5.69
3561,Ga0.9Sb0.9Cd0.1Te0.1,0.78
3562,NH7Se2O6,4.81
3563,TlBr,3.24
3564,KPSe6,2.16
3565,ZnS,3.76
3566,Ga0.85Al0.15As,1.6
3567,GaAs,1.43
3568,Ga0.05P0.05Zn0.95Se0.95,2.4
3569,KFeCuTe2,1.06
3570,AsBr3,2.6
3571,Zn0.5Hg0.5Se,0.6
3573,Bi2S3,1.3
3574,TlBr,3.1
3575,ReS2,1
3576,CdMoSb4O10,3.4
3577,PbCl2,3.94
3579,As2O3,4
3580,InSb,0.16
3581,Na2BaGeS4,3.7
3582,Ba2GaDyTe5,1.13
3583,NaB15,0.32
3585,Bi2Te2.97Se0.03,0.16
3586,AgBiS2,0.9
3587,SnGa2GeS6,2.04
3589,NiTe,0.23
3591,Pr2YbCuS5,1.25
3592,KInSnS4,2.3
3595,La2O2MnSe2,1.6
3597,RbTbSe2,2.5
3598,Zn0.5Cd0.5Se,2.9
3599,Na2Ge2Se5,2.38
3600,PbCrO4,2.25
3601,Ag0.5Pb1.75GeS4,1.83
3602,CsEr9Cd4Se18,2.09
3603,CdCl2,5.8
3604,ReS2,1.1
3605,Cu3TaS4,3
3606,Pb0.99Sn0.01Se,0.17
3608,AgCd3PS6,2.56
3609,Cu3YTe3,0.72
3610,TlInSe2,1.19
3611,Bi2Te2.7Se0.3,0.21
3612,CuGaTe2,1.18
3614,Tl2PrInSe4,0.93
3615,Gd2ZrS5,1.88
3616,Pr2S3,2.68
3617,PbBiO2Br,2.47
3618,YbS,1.1
3619,K6Cd4Sn3Se13,2.33
3620,Pb0.75Ge0.25Te,0.44
3621,CdSb,0.47
3622,BeTe,2.89
3623,Pb0.96TeGa0.04,0.37
3626,LiH3Se2O6,4.9
3627,BaLa2In2S7,1.87
3628,Li3Cs2B5O10,7.3
3629,TlScS2,1.51
3630,InSe,1.36
3633,K2Ge4Se8,1.8
3635,ZnGeN2,3.2
3636,KAsSe2,1.62
3637,GaN,3.3
3638,Cu2Te,1.04
3639,Dy2Mo3O12,1.92
3640,Li2PtO3,2.3
3642,Si2Te3,2
3643,Eu2SnSe5,1.07
3644,Ba6Sn6Se13,1.52
3645,As2S6,2.35
3649,Cs3Sb2I9,1.89
3651,Ag0.5Pb1.75GeSe4,1.51
3652,Pr2S3,2.6
3653,Sr2V3Se5O18,2.47
3654,InSe,1.19
3655,Nd2HfS5,0.7
3656,Nb6VSb3O25,3.2
3657,TeSe3,1.4
3659,Sn2BiSI5,1.32
3660,Ag3SbS3,1.77
3661,TlS,1.36
3663,GaSb,0.81
3665,PtSb2,0.4
3666,AgGaGeS4,3
3669,InS,1.9
3673,InSb,0.24
3674,KBiS2,0.86
3675,Cs4In8GeSe16,2.2
3676,Tl6CuTe2O10,2.3
3677,InPS4,3.12
3678,BaCuTeF,2.3
3679,Ge0.2Si0.8,1.1
3680,Ba5In4Te4S7,2.13
3681,CsMn4In5Se12,1.79
3682,CuInSe2,0.95
3683,PbN6,2.98
3684,LiSbS2,1.36
3685,GeS,1.61
3686,AlSb,1.69
3687,Be3N2,3.8
3688,AlSb,1.7
3689,Cs39Cl6Ga53Se96,2.74
3690,Zn0.43Cd0.57Se,2.9
3691,Ag2SnS3,1.26
3692,AlP,2.42
3694,Cs3Bi2I9,1.8
3696,PbS,0.29
3699,Cu3SbS4,0.8
3701,CuYO2,3.5
3704,CdS,2.4
3705,Zn0.65Hg0.35Se,1
3707,V2O5,2.49
3708,NaF,10.5
3710,VTeO5H,2.51
3711,CdAs2,1.2
3713,CsI,6.3
3714,Yb2O3,5.22
3715,Ba2InCeTe5,1.35
3716,CdTe,1.43
3717,In0.2As0.2Ga0.8P0.8,2.15
3719,PbCuSbS3,1.31
3720,Ba2CdB6O12,4.59
3721,Sn2BiS2I3,1.22
3722,GeSe,1.18
3723,As2Te3,1.68
3725,GaN,3.6
3727,GaSb,0.72
3729,PbSe,0.28
3730,Ag2VI3O11,2.16
3731,GaN,3.49
3732,LiSbSe2,0.68
3733,InSb,0.18
3734,Cs2ZnSn3Se8,2.12
3735,Zn4Sb3,1.2
3737,Eu2Ga2GeS7,2.3
3739,AlP,2.52
3740,La2Sr2PtO7.13,2.52
3741,KCu3S2,1.46
3744,SnGe,0.8
3745,Hg0.9Cd0.1Se,1.5
3746,Cu2O,2.67
3747,CdCuSe2O6,3.33
3748,PbTe,0.31
3749,AgP15,1.47
3750,SmSb,0.59
3751,IrAs2,1
3752,PbTe0.5Se0.5,0.29
3753,KScSe2O6,5.4
3754,CdGeP2,1.8
3755,Cu2Ta4O11,2.7
3756,ReS2,1.33
3757,Pr4InSbSe9,1.89
3758,Cd0.6Te0.6Al0.4Sb0.4,1.8
3759,Cu2Ta11O30,2.59
3760,Tl2TeI6,1.5
3761,La10OSe14,2.04
3762,NaNO2,3.1
3765,Bi2Mo3O12,2.9
3766,Se0.2Te0.8,0.4
3767,Ga0.2Al0.8P,2.43
3768,Ag3SbS3,2.17
3769,InSb0.2As0.8,0.12
3770,ZnSe,2.81
3771,MnAl3,0.58
3772,InN,2.11
3773,TaGaS2,2.54
3774,CuBr,2.99
3775,MgSe,5.6
3777,BaTeMo2O9,3.12
3778,Mg3N2,2.8
3779,Ba2InSbSe5,1.92
3782,Cs2PtI6O18,2.4
3783,BiSI,1.64
3784,EuCu2SnS4,1.85
3785,GaSe,2.16
3786,Na2BaGeSe4,2.25
3787,ZnS,3.54
3788,Sr3GeSb2Se8,0.75
3789,K2Ho4Cu4S9,2.43
3790,La2CoTiO6,1.02
3791,In0.8Al0.2P,1.7
3792,Zn3As2,1.11
3794,Ga0.1P0.1Zn0.9Se0.9,2.3
3795,LiBi4Nb3O12,3
3796,K3Ga3Ge7S20,3.25
3798,TlCl,3.2
3799,TcS2,1
3800,SnO,3
3801,GaTe,1.52
3802,GaAs0.75Sb0.25,0.65
3803,BaIr2Ge4Se6,1.33
3804,KInTe2O6,4
3806,Mg2Sn,0.18
3808,Ga1.001Sb0.999Te0.003,0.72
3811,Gd6Ge2.5S14,2.2
3812,KZrPSe6,2
3814,Ag3SbS3,2.2
3815,MnTe,1.25
3817,Ag3AsS3,1.86
3820,AgGaSe2,1.8
3822,AlP,2.5
3823,AlP,3.63
3824,As2S3,2.2
3826,As2S3,2.43
3827,Bi0.6Te3Sb1.4,0.2
3828,CdAs2,0.89
3829,CdGa2Se4,2.27
3830,CdGa2Se4,2.5
3831,CdP2,2.11
3832,CdS,2.57
3833,CdSb,0.49
3835,CdSe,2.18
3837,CdTe,1.49
3838,CdTe,1.52
3839,CuFeS2,0.53
3840,CuGaSe2,1.63
3841,Dy2S3,2.91
3842,GaAs,1.52
3843,GaAs,1.42
3846,GaAs,1.43
3847,GaN,3.8
3849,GaS,2.53
3850,GaSe,1.97
3851,GaSe,2.09
3853,GaTe,1.8
3854,GeSe,1.17
3855,GeSe2,2.36
3856,In4Te3,0.57
3857,InAs,0.36
3858,InAs,0.41
3859,InAs,0.4
3860,InAs,0.41
3861,InSe,1.18
3862,InSe,1.2
3863,InSe,1.32
3864,InSe,1.35
3865,KI,6.38
3866,Mg3As2,2.6
3867,NaBiSe2,0.28
3868,PbS,0.31
3869,PbS,0.29
3870,PbTe,0.19
3871,RbI,6.36
3873,Sb2S3,1.72
3874,Sb2S3,1.71
3875,SnS,1.2
3876,SnS,1.18
3878,Tl2Te3,0.48
3879,Tl2Te3,0.7
3880,TlCl,3.5
3881,TlSbS2,1.54
3882,Zn3As2,1.09
3883,Zn3As2,0.98
3885,ZnO,3.35
3886,ZnS,3.87
3887,ZnS,3.6
3888,ZnSe,2.67
3889,ZnSnP2,1.3
3890,ZnTe,2.39
3891,ZnTe,2.25
3892,ZnTe,2.29
3893,ZnSe,2.76
3894,ZnSnP2,1.66
3895,ZnTe,2.4
